entry,n
RUM,1
ORE,5
AUNT,1
XXX,3
HIKE,1
AOC,2
MUD,1
ROUX,1
URN,2
MET,2
AXE,2
XKCD,1
HAM,1
IOU,1
ZOO,1
FAWN,1
EYES,3
INN,1
SLOT,1
PONY,1
ABS,8
ZAYN,1
OWE,1
ONS,2
FENTY,1
IONS,1
SPA,4
LOB,1
CHA,2
RIB,1
TOLL,1
SHEEPLE,1
TIRE,1
EGG,5
PHO,1
CROP,1
HILL,1
ABLE,1
TEE,5
STEP,1
HIGH,1
ERGO,1
SAM,2
KGS,1
UNION,1
SAP,4
BEANS,1
AVI,3
MAN,2
SKIPS,2
AGO,4
MSN,3
USAIN,1
NAN,3
BAM,1
EVA,2
REG,2
BINGO,1
BANGO,1
BONGO,1
AND,4
NES,2
RANGO,1
EGGO,1
GOO,3
BANDS,2
ING,1
BONE,1
BAN,3
BAO,2
RUN,2
SCARE,1
BALLGAG,1
REORG,1
IRE,2
SOS,2
BRAGG,1
AURA,2
ONEG,2
SLOES,1
CLR,1
BRIS,1
AERO,3
HES,2
ISH,1
SKIPPY,1
HAPPY,1
KAZOOS,1
EMU,3
NEO,2
HIPPO,1
ESPYS,1
SHY,2
SHAME,1
KAZUO,1
IPO,2
KEN,1
CSI,5
HIR,1
ASIAGO,1
DRANKIN,1
RITUAL,1
USA,3
GEN,1
CHAKA,1
SIGIL,1
IRON,1
ARISE,2
SATAN,1
INU,1
DRUG,2
AHS,1
RAW,1
RASHIDA,1
ARMISEN,1
TEASERS,1
INC,1
OAK,2
HADER,1
SWANS,2
RATIO,2
ARENA,2
SMACK,1
HIS,1
BOA,2
SAKS,1
PICK,1
EAT,1
HOLD,1
MALE,1
MTA,2
BAIT,1
OKC,1
ASK,3
SPADE,1
ELLA,1
HMM,1
OAT,1
DRY,2
TRUE,2
RUST,1
THIGH,1
SHOE,1
HELD,1
EYE,5
RUSH,1
YET,2
TRIED,2
THEY,1
HOLE,1
SHE,4
NAG,1
JAPE,1
OMEN,1
NOWHERE,1
IRAN,1
CAWS,1
NAME,2
APER,1
GENE,3
JOHNS,1
NICU,1
ORAS,1
WAWA,1
AWW,1
ASIA,1
LUCID,1
ALI,5
RADII,1
UGLI,1
BEE,3
ASCII,1
WII,1
WAD,2
AULII,1
LADLE,1
RUB,2
AGE,5
GPU,1
TIOS,1
AUDRE,1
LORDE,1
CORNY,1
ARTS,1
TEA,4
GIDDY,1
PORE,1
USE,4
TURNS,1
AORTA,2
LORE,1
CAT,1
LOLO,1
AETNA,1
WESTHAM,1
ADAMS,1
RABE,1
DMC,2
ROTHS,1
ULNA,1
NOAM,1
LETME,1
ASABC,1
WARD,1
EDAM,1
POS,1
AHOK,1
SNOOPY,1
PORTS,1
CATTOY,1
AREA,3
PHOTO,1
OOPSY,1
SKY,2
SPARE,1
NOTES,1
CAN,2
MEN,4
KILO,1
KAMALA,1
CERAMIC,1
HARRIS,1
ATAT,1
PSY,5
MIAMI,2
ELLIS,1
NOAC,1
KMART,1
KEATS,1
ARRAY,1
CHAP,2
MAM,1
DOMO,1
TAKENUP,1
AGONISE,1
GOATEED,1
URNS,1
PAS,2
MONIE,1
AMUSE,1
MOPED,1
DENTS,1
TAGUP,1
AGORA,2
KOANS,1
HBCUS,1
BARBS,1
ODE,3
TEMPE,1
AWARD,2
SEX,3
SCREED,1
PUB,1
ASS,6
HBOMAX,1
BADPR,1
TAS,1
EWE,4
KFC,2
FAILS,1
UNCUT,1
BLOKE,1
TILDE,1
STEER,1
PER,2
KICKER,1
FLUE,1
CST,2
FULLER,1
ANODE,1
BITE,1
TSP,6
PGS,1
IGLOO,2
QUELL,1
CATCAFE,1
EXECS,1
ROSIE,1
ANT,2
PLEASE,2
GOLF,1
SOLE,1
IQTEST,1
GUCCI,1
CERA,1
AXON,1
OSAKA,2
SHIPIT,1
TBELL,1
TRAVEL,1
VIBES,1
SPY,5
MAPLES,1
SKILL,1
NAT,2
OHBABY,1
SIEVE,1
STRIP,1
TVS,1
STL,2
KATIE,1
RUGRAT,2
BEMOANS,1
APARNA,1
TRIAD,1
SOL,1
STRAND,1
TIANA,1
LETS,2
KUMAIL,1
REPRO,1
BATS,2
FIB,1
BEANO,1
SHERMAN,1
MODDING,1
IPHONES,2
LOOSE,1
ENG,1
FAMINE,1
INANE,1
BONGS,1
BEDHOG,1
ERDOS,1
SMILE,1
HOPON,1
OPTIMA,1
PRICED,1
TIKKA,1
HOZIER,2
QUESTS,1
STD,1
TICKET,1
SMEARS,1
PAD,1
OPTOUT,1
PRIZED,1
TIKIS,1
HQS,1
MEL,1
OHSURE,1
PETSAT,1
CHARTS,1
HILOVE,1
OREVER,1
WADE,1
MUSTVE,1
ERASER,1
LET,2
OPHIRA,1
HEALED,1
STROVE,1
CHOW,1
LDR,1
ROSEAU,1
HAULASS,1
OHTIGHT,1
RESCUES,1
SEEKER,1
EMT,3
LEAGUE,1
DASHER,1
RUSTS,1
RAHEEM,1
OUTSET,1
SLICK,1
HORSE,1
GOB,1
HPS,1
ORO,1
OREGANO,2
TARTLET,1
ONIGIRI,1
ICE,8
LES,3
GOALIE,2
ORNERY,1
BOOTIE,1
HOTOIL,1
PRANCE,1
SERIES,1
GTG,1
BUSTLES,1
UNCOILS,1
SPORCLE,1
HATCHET,1
WITHERS,1
ADS,5
CLICHE,1
HELLER,1
ASSETS,2
BUSHWA,1
UNPAID,1
SCOTTS,1
TORCH,1
LAM,1
ONO,3
VACCINE,1
AROUSES,1
TABSETS,1
BRT,1
SAS,1
LOCUSTS,1
ANISE,1
MONET,1
VAT,1
ARABS,1
COBRA,1
ESS,3
BYE,1
OORT,1
UDON,2
GYMNAST,1
AVEC,1
SUR,2
BOUNCER,1
YODA,1
EROS,2
TNT,2
GAG,1
YVES,1
MENU,1
CORP,1
LOUIS,2
ANA,5
HARRY,1
IAGO,1
NEE,1
