letter,type,prop
A,xw,0.11038830055471507
A,wiki,0.07600707408135193
B,xw,0.021432173474533536
B,wiki,0.015189624680683828
C,xw,0.028996469994957134
C,wiki,0.03768913342503439
D,xw,0.039233484619263743
D,wiki,0.04085281980742778
E,xw,0.12682803832576903
E,wiki,0.12124189428178424
F,xw,0.0077155824508320725
F,wiki,0.018648064452741208
G,xw,0.0226928895612708
G,wiki,0.01829436038514443
H,xw,0.022239031770045384
H,wiki,0.041481627038710944
I,xw,0.06313666162380233
I,wiki,0.06690901945372371
J,xw,0.002924861321230459
J,wiki,0.0015523678522303007
K,xw,0.010993444276348966
K,wiki,0.0065435252505403815
L,xw,0.048764498234997476
L,wiki,0.04484181568088033
M,xw,0.030963187090267272
M,wiki,0.02422872863037925
N,xw,0.05940494200706001
N,wiki,0.06496364708194144
O,xw,0.07236510337871911
O,wiki,0.07459225781096483
P,xw,0.030509329299041855
P,wiki,0.022145804676753783
Q,xw,0.0016137165910237014
Q,wiki,0.0019650225977598744
R,xw,0.06994452849218356
R,wiki,0.07667518176459029
S,xw,0.09384770549672214
S,wiki,0.0781882491648654
T,xw,0.07165910237014625
T,wiki,0.08015327176262527
U,xw,0.025113464447806353
U,wiki,0.030064845745726074
V,xw,0.009430156328794756
V,wiki,0.008488897622322657
W,xw,0.010640443772062531
W,wiki,0.021851051287089803
X,xw,0.002773575390821987
X,wiki,0.0018471212418942817
Y,xw,0.013212304589006556
Y,wiki,0.016329337787384556
Z,xw,0.003177004538577912
Z,wiki,0.008370996266457065
